Course Code,Course Title,Invigilator,No of Students,Level,Cohorts,Room,Day,Time
BBIS 213,IT for Business (MOS) [Sec A] (All Sections),G. Preprah Tanoah,30,200,Level_200_Sem1,EG White,Wednesday,9:00 AM - 12:00 PM
BBIS 226,Business Process Modeling and Workflow [Sec A] (All Sections),Prof. W. Ofoe Larkotey,30,200,Level_200_Sem1,EG White,Wednesday,2:00 PM - 5:00 PM
BBIS 260,Web and Social Management Tools [Sec A] (All Sections),G. Preprah Tanoah,30,200,Level_200_Sem2,EG White,Tuesday,2:00 PM - 5:00 PM
BBIS 338,Enterprise Systems [Sec A] (All Sections),R. W. Ambeh-Doh,30,300,Level_300_Sem1,EG White,Tuesday,9:00 AM - 12:00 PM
BBIS 432,IS Consultancy Practices Solution Develop [Sec A] (All Sections),Prof. W. Ofoe Larkotey,30,400,Level_400_Sem2,EG White,Monday,2:00 PM - 5:00 PM
BBIS 488,Decision Support Systems [Sec A] (All Sections),S. Ganu,30,400,Level_400_Sem2,EG White,Thursday,2:00 PM - 5:00 PM
COCS 364 / INFT 364,Research Methods [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,300,Level_300_Sem1,EG White,Monday,2:00 PM - 5:00 PM
COSC 113,Elements of Programming [Sec A] (All Sections),R. Amponsah,30,100,Level_100_Sem1,EG White,Wednesday,2:00 PM - 5:00 PM
COSC 117,Fundamentals of Computing Skills [Sec B] (All Sections),G. Preprah Tanoah,60,100,Level_100_Sem1,EG White,Monday,9:00 AM - 12:00 PM
COSC 124,Procedural Programming [Sec A] (All Sections),E. Okoe,30,100,Level_100_Sem2,EG White,Wednesday,9:00 AM - 12:00 PM
COSC 130,Digital Electronics [Sec A] (All Sections),E. Okoe,30,100,Level_100_Sem1,EG White,Tuesday,2:00 PM - 5:00 PM
COSC 224,Object-Oriented Programming [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,200,Level_200_Sem1,EG White,Friday,9:00 AM - 12:00 PM
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A] (All Sections),S. Ganu,30,200,Level_200_Sem1,EG White,Tuesday,9:00 AM - 12:00 PM
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A] (All Sections),S. Sebuabe,30,200,Level_200_Sem1,EG White,Thursday,2:00 PM - 5:00 PM
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management (All Sections),E. Okoe,30,200,Level_200_Sem2,EG White,Friday,9:00 AM - 12:00 PM
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A] (All Sections),R. Amponsah,30,300,Level_300_Sem1,EG White,Wednesday,2:00 PM - 5:00 PM
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A] (All Sections),Dr. A. Adu-Sackey,30,300,Level_300_Sem1,EG White,Thursday,2:00 PM - 5:00 PM
COSC 470,/ INFT 470 Computer & Cyber Forensics (All Sections),M. Asare,30,400,Level_400_Sem1,EG White,Thursday,9:00 AM - 12:00 PM
COSC 480,Compiler Design [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,400,Level_400_Sem1,EG White,Monday,9:00 AM - 12:00 PM
CSCD 119,Introduction to Computer Science [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,100,Level_100_Sem1,EG White,Monday,2:00 PM - 5:00 PM
INFT 115,Information Technology Foundation [Sec A] (All Sections),R. W. Ambeh-Doh,30,100,Level_100_Sem1,EG White,Thursday,2:00 PM - 5:00 PM
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A] (All Sections),R. W. Ambeh-Doh,30,200,Level_200_Sem1,EG White,Tuesday,2:00 PM - 5:00 PM
INFT 340,Computer Vision: Concepts and Application [Sec A] (All Sections),S. Sebuabe,30,300,Level_300_Sem2,EG White,Wednesday,2:00 PM - 5:00 PM
INFT 410,Internet-Enabled Applications Systems Development (All Sections),S. Sebuabe,30,400,Level_400_Sem1,EG White,Monday,9:00 AM - 12:00 PM
INFT 420,Computer-Human Interaction [Sec A] (All Sections),M. Doe,30,400,Level_400_Sem2,EG White,Thursday,9:00 AM - 12:00 PM
INFT 446,Systems and Network Administration [Sec A] (All Sections),M. Asare,30,400,Level_400_Sem2,EG White,Wednesday,9:00 AM - 12:00 PM
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A] (All Sections),M. Doe,30,400,Level_400_Sem1,EG White,Friday,9:00 AM - 12:00 PM
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A] (All Sections),S. Ganu,30,400,Level_400_Sem2,EG White,Tuesday,9:00 AM - 12:00 PM
MATH 101,Algebra [Sec A] (All Sections),Prof. W. Oblitey,30,100,Level_100_Sem1,EG White,Thursday,2:00 PM - 5:00 PM
MATH 112,Calculus I [Sec A] (All Sections),Dr. G. Biney,30,100,Level_100_Sem2,EG White,Thursday,9:00 AM - 12:00 PM
MATH 121,College Algebra [Sec A] (All Sections),O. Osei-Tutu,30,100,Level_100_Sem2,EG White,Tuesday,2:00 PM - 5:00 PM
MATH 171,Introductory Mathematics for Computer Science (All Sections),Prof. W. Oblitey,30,100,Level_100_Sem1,EG White,Tuesday,9:00 AM - 12:00 PM
MATH 172,Discrete & Continuous Mathematics [Sec A] (All Sections),Prof. L. Asiedu,30,100,Level_100_Sem2,EG White,Thursday,9:00 AM - 12:00 PM
MATH 214,Multivariable Calculus [Sec A] (All Sections),Dr. G. Biney,30,200,Level_200_Sem2,EG White,Monday,2:00 PM - 5:00 PM
PHYS 103,Physics [Sec A] (All Sections),J. Okyere Asirifi,30,100,Level_100_Sem1,EG White,Wednesday,2:00 PM - 5:00 PM
RNSG 101,Nursing and Midwifery Informatics [Sec A] [Jan. Batch] (All Sections),R. Amponsah,30,100,Level_100_Sem1,EG White,Friday,9:00 AM - 12:00 PM
STAT 202,Statistical Methods for Health Sciences [Sec A] (All Sections),O. Osei-Tutu,90,200,Level_200_Sem1,EG White,Monday,2:00 PM - 5:00 PM
STAT 384,Probability and Statistics [Sec A] (All Sections),TBA,30,300,Level_300_Sem2,EG White,Monday,9:00 AM - 12:00 PM
