Course Code,Course Title,Invigilator,No of Students,Level,Cohorts,Room,Day,Time
AFST 205,Introduction to African Music (All Sections) (All Sections),E. Boahen,40,200,Level_200_Sem2,Baobab RM2,Wed W1,2:00 PM - 5:00 PM
AFST 243,Chieftaincy and Development (All Sections) (All Sections),F. Opoku,40,200,Level_200_Sem2,Baobab RM3,Wed W2,9:00 AM - 12:00 PM
CMME 115,Introduction to Communication Skills (All Sections) (All Sections),Dr. A. Oye,90,100,Level_100_Sem1,American High,Mon W1,2:00 PM - 5:00 PM
ENGL 111,Language and Writing Skills I (All Sections) (All Sections),Dr. S. Adjei-Mensah,120,100,Level_100_Sem1,Baobab RM2,Thu W1,2:00 PM - 5:00 PM
ENGL 112,Language and Writing Skills II (FOS & SOB) (All Sections) (All Sections),C. Pokuaa,90,100,Level_100_Sem2,Baobab RM2,Wed W1,6:00 PM - 9:00 PM
FREN 121,French for General Communication I (All Sections) (All Sections),J. Elorm Doufodji,60,100,Level_100_Sem1,Baobab RM2,Thu W2,6:00 PM - 9:00 PM
FREN 122,French for General Communication II (All Sections) (All Sections),J. Rhule,60,200,Level_200_Sem2,American High,Thu W1,6:00 PM - 9:00 PM
GNED 125,Study Skills (SONM) (All Sections) (All Sections),Ama O. Karikari,60,100,Level_100_Sem2,American High,Wed W2,2:00 PM - 5:00 PM
GNED 230,Career Exploration and Planning (All Sections) (All Sections),Ama O. Karikari,30,200,Level_200_Sem1,American High,Tue W2,6:00 PM - 9:00 PM
GNED 468,Job Search Strategies and Techniques (All Sections) (All Sections),Ama O. Karikari,30,400,Level_400_Sem1,Baobab RM1,Thu W1,2:00 PM - 5:00 PM
HLTH 200,Health Principles (All Sections) (All Sections),K. Oheneba Nti,60,100,Level_100_Sem1,American High,Tue W1,6:00 PM - 9:00 PM
PEAC 100,Physical Activity (All Sections) (All Sections),K. Oheneba Nti,25,100,Level_100_Sem1,Baobab RM4,Tue W1,9:00 AM - 12:00 PM
PSYC 105,Introduction to Psychology (All Sections) (All Sections),Akua K. Amponsah,30,100,Level_100_Sem1,Baobab RM6,Mon W1,6:00 PM - 9:00 PM
RELB 163,Life and Teachings of Jesus (All Sections) (All Sections),Dr. F. Tenortey,90,100,Level_100_Sem1,Baobab RM6,Thu W1,6:00 PM - 9:00 PM
RELB 250,Principles of Christian Faith (All Sections) (All Sections),Ps. E. Osei,60,200,Level_200_Sem1,Baobab RM4,Mon W1,9:00 AM - 12:00 PM
RELG 451,Bible and Family Dynamics (All Sections) (All Sections),Dr. J. Andor,60,400,Level_400_Sem1,Baobab RM4,Tue W2,9:00 AM - 12:00 PM
RELT 385,Introduction to Biblical Foundation of Ethics (All Sections) (All Sections),Ps. E. Takyi,60,300,Level_300_Sem2,American High,Tue W1,9:00 AM - 12:00 PM
SOCI 115,Principles of Sociology (All Sections) (All Sections),Dr. D. Dovie,30,100,Level_100_Sem1,Baobab RM2,Tue W2,2:00 PM - 5:00 PM
