Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
ENGL 111,Language and Writing Skills I [Sec B],2,Dr. S. Adjei-Mensah,Boabab RM5,Friday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec D] (SONM),2,Dr. S. Adjei-Mensah,Baobab RM1,Monday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec C] (SONM),2,Dr. S. Adjei-Mensah,Baobab RM5,Thursday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
GNED 125,Study Skills [Sec B] (SONM),NC,Ama O. Karikari,Baobab RM1,Thursday,5:00 PM - 6:00 PM,100,2,5:00 PM,30,30
GNED 125,Study Skills [Sec A],NC,Ama O. Karikari,Baobab RM1,Friday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
CMME 115,Introduction to Communication Skills [Sec A],2,Dr. A. Oye,Boabab RM5,Thursday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
CMME 115,Introduction to Communication Skills [Sec B](SONM),2,Dr. A. Oye,Baobab RM1,Wednesday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
RELB 163,Life and Teachings of Jesus [Sec A],3,Dr. F. Tenortey,Boabab RM5,Tuesday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
RELB 163,Life and Teachings of Jesus [Sec B],3,Dr. F. Tenortey,Boabab RM5,Tuesday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
PSYC 105,Introduction to Psychology [Sec A],3,Akua K. Amponsah,Baobab RM3,Thursday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
ENGL 112,Language and Writing Skills II [Sec B] (FOS & SOB),2,C. Pokuaa,Baobab RM1,Tuesday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
SOCI 115,Principles of Sociology [Sec A],3,Dr. D. Dovie,American High,Monday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
RELG 451,Bible and Family Dynamics [Sec B],3,Dr. J. Andor,Baobab RM3,Wednesday,10:00 AM - 12:30 PM,400,2,10:00 AM,30,30
AFST 205,Introduction to African Music [Sec B],1,E. Boahen,American High,Thursday,7:00 AM - 9:30 AM,200,2,7:00 AM,20,20
AFST 243,Chieftaincy and Development [Sec A],1,F. Opoku,Baobab RM5,Monday,10:00 AM - 12:30 PM,200,2,10:00 AM,20,20
HLTH 200,Health Principles [Sec A],3,K. Oheneba Nti,Baobab RM5,Monday,7:00 AM - 9:30 AM,200,2,7:00 AM,30,30
MATH 121,College Algebra [Sec A],3,O. Osei-Tutu,Baobab RM3,Monday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
RELT 385,Introduction to Biblical Foundation of Ethics [Sec B],3,Ps. I. Kyere,Baobab RM1,Tuesday,7:00 AM - 9:30 AM,300,2,7:00 AM,30,30
