Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A],3.0,Dr. A. Adu-Sackey,CS1,Monday,07:00 AM - 09:30 AM,300,1,07:00 AM,30,30
COSC 130,Digital Electronics [Sec A],3.0,E. Okoe,CS2,Tuesday,02:00 PM - 04:30 PM,100,1,02:00 PM,30,30
COSC 117,Fundamentals of Computing Skills [Sec B],3.0,G. Preprah Tanoah,CS1,Wednesday,07:00 AM - 09:30 AM,100,1,07:00 AM,30,30
BBIS 213,IT for Business (MOS) [Sec A],3.0,G. Preprah Tanoah,CS1,Wednesday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
PHYS 103,Physics [Sec A],3.0,J. Okyere Asirifi,CS LAB,Monday,07:00 AM - 09:30 AM,100,1,07:00 AM,30,30
COSC 470,/ INFT 470 Computer & Cyber Forensics,3.0,M. Asare,GEN. LAB,Monday,07:00 AM - 09:30 AM,400,1,07:00 AM,30,30
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],3.0,M. Doe,CS2,Monday,10:00 AM - 12:30 PM,400,1,10:00 AM,30,30
STAT 202,Statistical Methods for Health Sciences [Sec A],3.0,O. Osei-Tutu,American High,Monday,07:00 AM - 09:30 AM,200,1,07:00 AM,30,30
CSCD 119,Introduction to Computer Science [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS2,Wednesday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
COSC 224,Object-Oriented Programming [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS3,Monday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
COCS 364 / INFT 364,Research Methods [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS1,Tuesday,07:00 AM - 09:30 AM,300,1,07:00 AM,30,30
COSC 480,Compiler Design [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS LAB,Tuesday,02:00 PM - 04:30 PM,400,1,02:00 PM,30,30
MATH 101,Algebra [Sec A],3.0,Prof. W. Oblitey,CS LAB,Monday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
MATH 171,Introductory Mathematics for Computer Science,3.0,Prof. W. Oblitey,CS2,Monday,02:00 PM - 04:30 PM,100,1,02:00 PM,30,30
BBIS 226,Business Process Modeling and Workflow [Sec A],3.0,Prof. W. Ofoe Larkotey,CS3,Monday,02:00 PM - 04:30 PM,200,1,02:00 PM,30,30
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A],3.0,R. Amponsah,GEN. LAB,Monday,10:00 AM - 12:30 PM,300,1,10:00 AM,30,30
COSC 113,Elements of Programming [Sec A],3.0,R. Amponsah,CS2,Tuesday,07:00 AM - 09:30 AM,100,1,07:00 AM,30,30
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],3.0,R. W. Ambeh-Doh,CS3,Tuesday,07:00 AM - 09:30 AM,200,1,07:00 AM,30,30
BBIS 338,Enterprise Systems [Sec A],3.0,R. W. Ambeh-Doh,CS LAB,Monday,02:00 PM - 04:30 PM,300,1,02:00 PM,30,30
INFT 115,Information Technology Foundation [Sec A],3.0,R. W. Ambeh-Doh,CS2,Tuesday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],3.0,S. Ganu,CS3,Tuesday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
INFT 410,Internet-Enabled Applications Systems Development,3.0,S. Sebuabe,GEN. LAB,Monday,02:00 PM - 04:30 PM,400,1,02:00 PM,30,30
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A],3.0,S. Sebuabe,CS1,Tuesday,02:00 PM - 04:30 PM,200,1,02:00 PM,30,30
