Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,3.0,E. Okoe,American High,Thursday,07:00 AM - 09:30 AM,200,2,07:00 AM,30,30
COSC 124,Procedural Programming [Sec A],3.0,E. Okoe,American High,Tuesday,07:00 AM - 09:30 AM,100,2,07:00 AM,30,30
COSC 117,Fundamentals of Computing Skills [Sec A],3.0,G. Preprah Tanoah,CS1,Monday,02:00 PM - 04:30 PM,100,2,02:00 PM,30,30
BBIS 260,Web and Social Management Tools [Sec A],3.0,G. Preprah Tanoah,CS3,Friday,07:00 AM - 09:30 AM,200,2,07:00 AM,30,30
INFT 446,Systems and Network Administration [Sec A],3.0,M. Asare,CS LAB,Thursday,07:00 AM - 09:30 AM,400,2,07:00 AM,30,30
INFT 420,Computer-Human Interaction [Sec A],3.0,M. Doe,American High,Tuesday,10:00 AM - 12:30 PM,400,2,10:00 AM,30,30
BBIS 432,IS Consultancy Practices Solution Develop [Sec A],3.0,Prof. W. Ofoe Larkotey,CS LAB,Tuesday,07:00 AM - 09:30 AM,400,2,07:00 AM,30,30
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A],3.0,S. Ganu,American High,Monday,07:00 AM - 09:30 AM,400,2,07:00 AM,30,30
BBIS 488,Decision Support Systems [Sec A],3.0,S. Ganu,GEN. LAB,Thursday,10:00 AM - 12:30 PM,400,2,10:00 AM,30,30
INFT 340,Computer Vision: Concepts and Application [Sec A],3.0,S. Sebuabe,CS3,Friday,10:00 AM - 12:30 PM,300,2,10:00 AM,30,30
MATH 121,College Algebra [Sec A],3.0,O. Osei-Tutu,Baobab RM4,Wednesday,02:00 PM - 04:30 PM,100,2,02:00 PM,30,30
