Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
GNED 230,Career Exploration and Planning [Sec A],NC,Ama O. Karikari,Business Lab,Thursday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
GNED 468,Job Search Strategies and Techniques [Sec B],NC,Ama O. Karikari,DS Lab,Tuesday,5:00 PM - 6:00 PM,400,1,5:00 PM,30,30
GNED 125,Study Skills [Sec B] (SONM),NC,Ama O. Karikari,DS2,Monday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
GNED 125,Study Skills [Sec A],NC,Ama O. Karikari,Education Lab,Monday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec B],2,Dr. S. Adjei-Mensah,Baobab RM6,Thursday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec D] (SONM),2,Dr. S. Adjei-Mensah,Bulley Room 1,Monday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec A],2,Dr. S. Adjei-Mensah,CS1,Tuesday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec C] (SONM),2,Dr. S. Adjei-Mensah,Baobab RM5,Wednesday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
ENGL 112,Language and Writing Skills II [Sec B] (FOS & SOB),2,C. Pokuaa,B1,Tuesday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
ENGL 112,Language and Writing Skills II [Sec A] (SONM),2,C. Pokuaa,ED2,Thursday,2:00 PM - 4:30 PM,100,1,2:00 PM,30,30
ENGL 112,Language and Writing Skills II [Sec C] (SOE & FASS),2,C. Pokuaa,CH4,Monday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
CMME 115,Introduction to Communication Skills [Sec A],2,Dr. A. Oye,B2,Tuesday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
CMME 115,Introduction to Communication Skills [Sec C],2,Dr. A. Oye,CH4,Friday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
CMME 115,Introduction to Communication Skills [Sec B](SONM),2,Dr. A. Oye,CH1-1,Thursday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
RELB 163,Life and Teachings of Jesus [Sec A],3,Dr. F. Tenortey,American High,Friday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
RELB 163,Life and Teachings of Jesus [Sec C] (SONM),3,Dr. F. Tenortey,Business Lab,Monday,2:00 PM - 4:30 PM,100,1,2:00 PM,30,30
RELB 163,Life and Teachings of Jesus [Sec B],3,Dr. F. Tenortey,DS1,Tuesday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
PEAC 100,Physical Activity [Sec A],NC,K. Oheneba Nti,B. Ball Court,Monday,5:00 PM - 6:00 PM,100,1,5:00 PM,25,25
HLTH 200,Health Principles [Sec A],3,K. Oheneba Nti,BME Lab,Thursday,10:00 AM - 12:30 PM,200,2,10:00 AM,30,30
HLTH 200,Health Principles [Sec B],3,K. Oheneba Nti,Education Lab,Thursday,7:00 AM - 9:30 AM,200,1,7:00 AM,30,30
AFST 205,Introduction to African Music [Sec A],1,E. Boahen,Bulley Room 1,Friday,7:00 AM - 9:30 AM,200,1,7:00 AM,20,20
AFST 205,Introduction to African Music [Sec B],1,E. Boahen,Bulley Room 4,Thursday,5:00 PM - 6:00 PM,200,2,5:00 PM,20,20
AFST 243,Chieftaincy and Development [Sec B],1,F. Opoku,DS1,Monday,5:00 PM - 6:00 PM,200,1,5:00 PM,20,20
AFST 243,Chieftaincy and Development [Sec A],1,F. Opoku,Bulley Room 2,Friday,7:00 AM - 9:30 AM,200,2,7:00 AM,20,20
