Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
ENGL 111,Language and Writing Skills I [Sec B],2,Dr. S. Adjei-Mensah,Boabab RM5,Tuesday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
ENGL 111,Language and Writing Skills I [Sec D] (SONM),2,Dr. S. Adjei-Mensah,Bulley Room 4,Tuesday,5:00 PM - 6:00 PM,100,2,5:00 PM,30,30
ENGL 111,Language and Writing Skills I [Sec C] (SONM),2,Dr. S. Adjei-Mensah,Bulley Room 3,Wednesday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
PSYC 105,Introduction to Psychology [Sec A],3,Akua K. Amponsah,Baobab RM3,Thursday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
SOCI 115,Principles of Sociology [Sec A],3,Dr. D. Dovie,Bulley Room 4,Friday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
RELG 451,Bible and Family Dynamics [Sec B],3,Dr. J. Andor,Baobab RM3,Monday,7:00 AM - 9:30 AM,400,2,7:00 AM,30,30
CMME 115,Introduction to Communication Skills [Sec A],2,Dr. A. Oye,Baobab RM3,Wednesday,5:00 PM - 6:00 PM,100,2,5:00 PM,30,30
CMME 115,Introduction to Communication Skills [Sec B](SONM),2,Dr. A. Oye,Bulley Room 2,Wednesday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
AFST 205,Introduction to African Music [Sec B],1,E. Boahen,American High,Wednesday,2:00 PM - 4:30 PM,200,2,2:00 PM,20,20
AFST 243,Chieftaincy and Development [Sec A],1,F. Opoku,Bulley Room 2,Wednesday,7:00 AM - 9:30 AM,200,2,7:00 AM,20,20
GNED 125,Study Skills [Sec B] (SONM),NC,Ama O. Karikari,multipurpose hall,Thursday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
GNED 125,Study Skills [Sec A],NC,Ama O. Karikari,Bulley Room 1,Thursday,5:00 PM - 6:00 PM,100,2,5:00 PM,30,30
MATH 121,College Algebra [Sec A],3,O. Osei-Tutu,Bulley Room 2,Monday,5:00 PM - 6:00 PM,100,2,5:00 PM,30,30
HLTH 200,Health Principles [Sec A],3,K. Oheneba Nti,Bulley Room 2,Monday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
ENGL 112,Language and Writing Skills II [Sec B] (FOS & SOB),2,C. Pokuaa,Bulley Room 3,Wednesday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
