Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
BMET 214,Medical Laboratory Instrumentation [Sec A],3.0,Dr. J. Kutor,Baobab RM6,Wednesday,2:00 PM - 4:30 PM,200,1,2:00 PM,30,30
BMET 336,Quantitative Human Physiology [Sec A],2.0,Dr. J. Kutor,Baobab RM3,Thursday,10:00 AM - 12:30 PM,300,1,10:00 AM,30,30
BMET 446,Biofluid Mechanics [Sec A],2.0,Dr. J. Kutor,American High,Monday,2:00 PM - 4:30 PM,400,1,2:00 PM,30,30
BMET 346,Transport Phenomena in Biomedical Engineering,2.0,Dr. J. Kutor,Baobab RM1,Thursday,7:00 AM - 9:30 AM,300,1,7:00 AM,30,30
PHYS 124,Physics for Biomedical Engineering [Sec A],3.0,J. Asirifi,GEN. LAB,Monday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
BMET 228 / BMET 412,Medical Imaging Systems II [Sec A] / Medical Imaging II [Sec A],3.0,J. Asirifi,Baobab RM4,Wednesday,7:00 AM - 9:30 AM,200,1,7:00 AM,30,30
BMET 424,Digital Radiography [Sec A],2.0,J. Asirifi,American High,Thursday,2:00 PM - 4:30 PM,400,1,2:00 PM,30,30
MATH 112,Calculus I [Sec A],3.0,Dr. G. Biney,American High,Friday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
MATH 214,Multivariable Calculus [Sec A],3.0,Dr. G. Biney,CS1,Wednesday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
BIOL 322,Human Anatomy and Physiology II [Sec A],3.0,E. Abindau,American High,Monday,10:00 AM - 12:30 PM,300,1,10:00 AM,30,30
BIOL 116,Introduction to Human Anatomy and Physiology [Sec A],3.0,E. Abindau,CS1,Tuesday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
BMET 236,Biomedical Equipment Management [Sec A],3.0,E. Prah,Baobab RM4,Tuesday,7:00 AM - 9:30 AM,200,1,7:00 AM,30,30
BMET 132 / BMET 232,Electronic Devices and Circuits II [Sec A] / Electronic Circuits II [Sec A],3.0,E. Prah,Baobab RM6,Thursday,2:00 PM - 4:30 PM,100,1,2:00 PM,30,30
BMET 272,Introduction to Engineering Softwares [Sec A],3.0,TBA,CS2,Friday,7:00 AM - 9:30 AM,200,1,7:00 AM,30,30
BSAD 216 / BSAD 316,Business Essentials [Sec A] / Essentials of Business,3.0,TBA,CS1,Monday,2:00 PM - 4:30 PM,200,1,2:00 PM,30,30
PSYC 105,Introduction to Psychology [Sec A],3.0,A. Kusi Amponsah,Baobab RM1,Wednesday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
BMET 152,Language and Communication Skills II [Sec A],3.0,A. Oye,CS2,Friday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
CHEM 224,Chemistry for Biomedical Engineering [Sec A],3.0,Dr. Daniel Kantanka,American High,Tuesday,7:00 AM - 9:30 AM,200,1,7:00 AM,30,30
RELB 385,Introduction to Biblical Foundation of Ethics [Sec A],3.0,Ps. E. Takyi,American High,Thursday,10:00 AM - 12:30 PM,300,1,10:00 AM,30,30
RELB 163,Life and Teachings of Jesus [Sec B],3.0,Dr. F. Tenortey,Baobab RM1,Monday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
AFST 205,Introduction to African Music [Sec A],1.0,E. Boahen,Baobab RM3,Monday,05:00 PM - 06:00 PM,200,1,05:00 PM,30,30
FREN 122,French for General Communication II [Sec A],2.0,J. Rhule,Baobab RM6,Tuesday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
