Course Code,Course Title,Invigilator,No of Students,Level,Cohorts,Room,Day,Time
BBIS 213,IT for Business (MOS) [Sec A] (All Sections),G. Preprah Tanoah,30,20000,Level_20000_Sem1,multipurpose hall,Wednesday,9:00 AM - 12:00 PM
BBIS 226,Business Process Modeling and Workflow [Sec A] (All Sections),Prof. W. Ofoe Larkotey,30,20000,Level_20000_Sem1,multipurpose hall,Monday,2:00 PM - 5:00 PM
BBIS 260,Web and Social Management Tools [Sec A] (All Sections),G. Preprah Tanoah,30,20000,Level_20000_Sem2,Bulley Room 4,Wednesday,2:00 PM - 5:00 PM
BBIS 338,Enterprise Systems [Sec A] (All Sections),R. W. Ambeh-Doh,30,30000,Level_30000_Sem1,Bulley Room 3,Tuesday,9:00 AM - 12:00 PM
BBIS 432,IS Consultancy Practices Solution Develop [Sec A] (All Sections),Prof. W. Ofoe Larkotey,30,40000,Level_40000_Sem2,American High,Wednesday,2:00 PM - 5:00 PM
BBIS 488,Decision Support Systems [Sec A] (All Sections),S. Ganu,30,40000,Level_40000_Sem2,multipurpose hall,Thursday,9:00 AM - 12:00 PM
COCS 364 / INFT 364,Research Methods [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,30000,Level_30000_Sem1,Baobab RM2,Thursday,2:00 PM - 5:00 PM
COSC 113,Elements of Programming [Sec A] (All Sections),R. Amponsah,30,100,Level_100_Sem1,Bulley Room 2,Tuesday,2:00 PM - 5:00 PM
COSC 117,Fundamentals of Computing Skills [Sec B] (All Sections),G. Preprah Tanoah,60,10000,Level_10000_Sem1,American High,Monday,2:00 PM - 5:00 PM
COSC 124,Procedural Programming [Sec A] (All Sections),E. Okoe,30,10000,Level_10000_Sem2,American High,Wednesday,2:00 PM - 5:00 PM
COSC 130,Digital Electronics [Sec A] (All Sections),E. Okoe,30,10000,Level_10000_Sem1,Baobab RM1,Thursday,9:00 AM - 12:00 PM
COSC 224,Object-Oriented Programming [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,20000,Level_20000_Sem1,Bulley Room 5,Wednesday,2:00 PM - 5:00 PM
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A] (All Sections),S. Ganu,30,20000,Level_20000_Sem1,American High,Tuesday,2:00 PM - 5:00 PM
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A] (All Sections),S. Sebuabe,30,20000,Level_20000_Sem1,Baobab RM1,Thursday,2:00 PM - 5:00 PM
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management (All Sections),E. Okoe,30,20000,Level_20000_Sem2,American High,Thursday,9:00 AM - 12:00 PM
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A] (All Sections),R. Amponsah,30,30000,Level_30000_Sem1,Bulley Room 2,Friday,9:00 AM - 12:00 PM
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A] (All Sections),Dr. A. Adu-Sackey,30,30000,Level_30000_Sem1,Bulley Room 1,Thursday,9:00 AM - 12:00 PM
COSC 470,/ INFT 470 Computer & Cyber Forensics (All Sections),M. Asare,30,400,Level_400_Sem1,B. Ball Court,Wednesday,9:00 AM - 12:00 PM
COSC 480,Compiler Design [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,40000,Level_40000_Sem1,Baobab RM2,Monday,9:00 AM - 12:00 PM
CSCD 119,Introduction to Computer Science [Sec A] (All Sections),Prof. P. Yaw Owusu Amoako,30,10000,Level_10000_Sem1,Baobab RM1,Tuesday,2:00 PM - 5:00 PM
INFT 115,Information Technology Foundation [Sec A] (All Sections),R. W. Ambeh-Doh,30,10000,Level_10000_Sem1,Bulley Room 2,Tuesday,9:00 AM - 12:00 PM
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A] (All Sections),R. W. Ambeh-Doh,30,20000,Level_20000_Sem1,Baobab RM2,Tuesday,9:00 AM - 12:00 PM
INFT 340,Computer Vision: Concepts and Application [Sec A] (All Sections),S. Sebuabe,30,30000,Level_30000_Sem2,Bulley Room 5,Monday,2:00 PM - 5:00 PM
INFT 410,Internet-Enabled Applications Systems Development (All Sections),S. Sebuabe,30,40000,Level_40000_Sem1,American High,Tuesday,2:00 PM - 5:00 PM
INFT 420,Computer-Human Interaction [Sec A] (All Sections),M. Doe,30,40000,Level_40000_Sem2,Baobab RM2,Wednesday,9:00 AM - 12:00 PM
INFT 446,Systems and Network Administration [Sec A] (All Sections),M. Asare,30,40000,Level_40000_Sem2,Bulley Room 5,Friday,9:00 AM - 12:00 PM
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A] (All Sections),M. Doe,30,40000,Level_40000_Sem1,Bulley Room 4,Tuesday,9:00 AM - 12:00 PM
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A] (All Sections),S. Ganu,30,40000,Level_40000_Sem2,American High,Monday,9:00 AM - 12:00 PM
